School name, Suggested Mascot, website, lat, long, osmLink
Dubois Elementary School,Dragons,https://www.sps186.org/o/dubois,0,0,https://www.openstreetmap.org/node/354101921
Westfield Elementary School,Cyclones,https://www.whsd1.org,0,0,https://www.openstreetmap.org/node/354154927
Saunemin Elementary School,Eagles,https://www.saunemin.org/,0,0,https://www.openstreetmap.org/node/354207209
Washington Elementary School,Panthers,https://www.panaschools.com/,0,0,https://www.openstreetmap.org/node/354210044
Paw Paw Elementary School,Bulldogs,https://www.2paws.net/,0,0,https://www.openstreetmap.org/node/354218709
Sowers Elementary School,Rockets,https://www.rb60.com/,0,0,https://www.openstreetmap.org/node/354224133
Rappahannock Elementary School,Junior,https://rces.rappahannockschools.us/,0,0,https://www.openstreetmap.org/node/356590800
Scott Elementary School,Free,https://scott.tisd.org/,0,0,https://www.openstreetmap.org/node/356789687
Poolville Elementary School,Monarchs,https://www.poolville.net/,0,0,https://www.openstreetmap.org/node/356810700
Adamsville Elementary School,Cardinals,https://aes.mcnairycountyschools.com/,0,0,https://www.openstreetmap.org/node/356848870
Martin Luther King, Jr. Elementary School,Lions,https://sdlancaster.org/explore-our-schools/elementary/king-es/,0,0,https://www.openstreetmap.org/node/357290416
Colebrookdale Elementary School,Bears,https://www.boyertownasd.org/Domain/12,0,0,https://www.openstreetmap.org/node/357380453
Bascom Elementary School,Vikings,https://labrae.school,0,0,https://www.openstreetmap.org/node/357394326
Mesa View Elementary School,Vikings,https://mesa-view.gccs.k12.nm.us/,0,0,https://www.openstreetmap.org/node/357610785
Wagon Mound Elementary School,Trojans,https://www.wm.k12.nm.us/,0,0,https://www.openstreetmap.org/node/357613892
Fairview Elementary School,Owls,https://fairview.middletownk12.org/,0,0,https://www.openstreetmap.org/node/357739308
Alice Costello Elementary School,Bears,https://www.alicecostello.com/,0,0,https://www.openstreetmap.org/node/357748470
Prairie View Elementary School,OG,https://www.opsd.org/,0,0,https://www.openstreetmap.org/node/357778824
North DeSoto Lower Elementary School,Little,https://www.desotopsb.com/o/north-desoto-le,0,0,https://www.openstreetmap.org/node/358380529
North DeSoto Upper Elementary School,Griffins,https://www.desotopsb.com/o/north-desoto-ue,0,0,https://www.openstreetmap.org/node/358400469
East Beauregard Elementary School,Lil,https://ebe.beau.k12.la.us/,0,0,https://www.openstreetmap.org/node/358400863
Morris Hill Elementary School,Panthers,https://morrishillelementary.usd475.org,0,0,https://www.openstreetmap.org/node/358641382
Nathan Hale Elementary School,Oilers,https://www.whiting.k12.in.us/o/wms,0,0,https://www.openstreetmap.org/node/358673003
Lawton Chiles Elementary School,Falcons,https://www.hillsboroughschools.org/chiles,0,0,https://www.openstreetmap.org/node/358744482
Ethel Phillips Elementary School,dragons,https://ethelphillips.scusd.edu/,0,0,https://www.openstreetmap.org/node/358772629
Arroyo Elementary School,Macaw,https://arroyo.simivalleyusd.org/,0,0,https://www.openstreetmap.org/node/358779963
Barbara Webster Elementary School,Bobcats,https://barbarawebster.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358780296
Blanchard Elementary School,Beagles,https://blanchard.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358780897
Crestview Elementary School,CATS,https://crestview.simivalleyusd.org/,0,0,https://www.openstreetmap.org/node/358782697
Glen City Elementary School,Grizzlies,https://glencity.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358784783
McKevett Elementary School,Mustangs,https://mckevett.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358788870
John Sinnott Elementary School,Wildcats,https://sinnott.musd.org,0,0,https://www.openstreetmap.org/node/358838402
Thelma B Bedell Elementary School,Bulldogs,https://thelmabedell.santapaulausd.org/,0,0,https://www.openstreetmap.org/node/358846898
Holly Harshman Elementary School,Bearcats,https://www.menaschools.org/o/holly-harshman-elementary-school,0,0,https://www.openstreetmap.org/node/358996656
Louise Durham Elementary School,Bearcats,https://www.menaschools.org/o/louise-durham-elementary-school,0,0,https://www.openstreetmap.org/node/359021870
Hunt Elementary School,Huskies,https://hunt.sdale.org/,0,0,https://www.openstreetmap.org/node/1127325946
Redwood Shores Elementary,Seals,https://redwoodshores.brssd.org/,0,0,https://www.openstreetmap.org/node/1437820274
Afton Elementary School,Little,https://afton.lcsd2.org/,0,0,https://www.openstreetmap.org/node/2014637477
Wauseon Elementary School,Indians,https://sites.google.com/wauseonindians.org/wes/,0,0,https://www.openstreetmap.org/node/3640066973
Greenwood Elementary School,Wildcats,https://www.greenwoodsd.org/,0,0,https://www.openstreetmap.org/node/4880474607
Rio Vista Elementary School,Roadrunners,https://riovista.fillmoreusd.org/,0,0,https://www.openstreetmap.org/node/4986024980
Shenandoah Valley Elementary School,Blue,https://svbluedevils.org/,0,0,https://www.openstreetmap.org/node/5757537623
Woodrow WIlson Elementary School,Roadrunners,https://schools.graniteschools.org/wilson/,0,0,https://www.openstreetmap.org/node/6290446886
Maplewood Elementary School,Rockets,https://www.maplewood.k12.oh.us/,0,0,https://www.openstreetmap.org/node/6589735828
North Adams-Jerome Elementary School,Rams,https://www.najps.org/,0,0,https://www.openstreetmap.org/node/6786128755
Holly Pond Elementary School,Broncos,https://hpe.ccboe.org/,0,0,https://www.openstreetmap.org/node/7807483120
Conotton Valley Elementary,Rockets,https://www.cvul.org/,0,0,https://www.openstreetmap.org/node/8816015870
Wells Elementary School,Wildcats,https://wes.jones.k12.ga.us,0,0,https://www.openstreetmap.org/node/8947278118
Cipriani Elementary School,Wildcats,https://cipriani.brssd.org/,0,0,https://www.openstreetmap.org/node/8953108238
Riggs Elementary School,Roadrunners,http://www.mychandlerschools.org/riggs,0,0,https://www.openstreetmap.org/node/9897592081
Hugo T Apatiki Elementary School,Qughsatkut,https://gambell.bssd.org,0,0,https://www.openstreetmap.org/node/10940456048
Mansfield Elementary School,Wolverines,https://www.desotopsb.com/o/mansfield-es,0,0,https://www.openstreetmap.org/node/12302837336
Wortham Elementary School,Bulldogs,https://www.worthamisd.org/,0,0,https://www.openstreetmap.org/node/12312826261
Okay Upper Elementary,Mustangs,https://www.okayps.org/,0,0,https://www.openstreetmap.org/node/12350447393
Eunice Thomas Elementary,Wildcats,https://www.cassville.k12.mo.us/,0,0,https://www.openstreetmap.org/node/12773081239
Moulton Elementary School,Kittens,https://www.moultonisd.net/o/mes,0,0,https://www.openstreetmap.org/node/13021996198
Coulee City Elementary School,Warriors,https://sites.google.com/view/coulee-hartline-sd/coulee-city-elementary,0,0,https://www.openstreetmap.org/node/13207147035
Clarence Piggott Elementary School,Piggott,https://www.clarencepiggott.org,0,0,https://www.openstreetmap.org/way/27523845
C. Owen Roundy Elementary School,Roundy,https://roundyracers.com,0,0,https://www.openstreetmap.org/way/27695864
Estes McDoniel Elementary School,Marlins,https://www.mcdonieles.org/,0,0,https://www.openstreetmap.org/way/27738414
Whitney Elementary School,Wizards,https://whitneywizards.org/,0,0,https://www.openstreetmap.org/way/27856157
North River Elementary School,Dolphins,https://www.northriveres.org/,0,0,https://www.openstreetmap.org/way/27862270
W. L. Chenery Upper Elementary School,Cheetahs,https://www.belmont.k12.ma.us/o/cues,0,0,https://www.openstreetmap.org/way/29744821
Broadmeadow Elementary School,Connections,https://broadmeadow.needham.k12.ma.us/,0,0,https://www.openstreetmap.org/way/29835662
E.N. White Elementary School,Tigers,https://www.hps.holyoke.ma.us/schools/e-n-white-school/,0,0,https://www.openstreetmap.org/way/29856770
South Elementary School,Sharks,https://south.stoughtonschools.org/,0,0,https://www.openstreetmap.org/way/29860982
Pond Springs Elementary School,Pioneers,https://pondsprings.roundrockisd.org/,0,0,https://www.openstreetmap.org/way/30806173
Alamo Elementary School,Mustangs,https://ales.srvusd.net,0,0,https://www.openstreetmap.org/way/31476725
Sawyer Elementary School,Mustangs,https://sawyer.cps.edu/,0,0,https://www.openstreetmap.org/way/32078068
Fulton Elementary School,Fabulous,https://fultonfalcons.org/,0,0,https://www.openstreetmap.org/way/32078343
Washington Elementary School,Bulldogs,https://www.mpsaz.org/washington,0,0,https://www.openstreetmap.org/way/32244444
Peninsula Elementary School,Panthers,https://www.pps.net/peninsula,0,0,https://www.openstreetmap.org/way/32455839
Saint Paul Elementary and High School,Buckaroos,https://www.stpaul.k12.or.us/,0,0,https://www.openstreetmap.org/way/32456673
Gorrie Elementary School,Jaguars,https://www.hillsboroughschools.org/gorrie,0,0,https://www.openstreetmap.org/way/32557973
Pomeroy Elementary School,PANTHERS,https://www.mpsaz.org/pomeroy,0,0,https://www.openstreetmap.org/way/32701462
Whittier Elementary School,WILDCATS,https://www.mpsaz.org/whittier,0,0,https://www.openstreetmap.org/way/34139119
Thomas Wharton Elementary School,Wildcats,https://sdlancaster.org/explore-our-schools/elementary/wharton-es/,0,0,https://www.openstreetmap.org/way/34179613
Whitman Elementary School,Wildcats,https://www.mpsaz.org/whitman,0,0,https://www.openstreetmap.org/way/35675518
John Kerr Elementary School,COYOTES,https://www.mpsaz.org/kerr,0,0,https://www.openstreetmap.org/way/35708020
Ramblewood Elementary School,Raptors,https://ramblewood.fmsd.org/,0,0,https://www.openstreetmap.org/way/37707472
Farnham Elementary School,Farnham,https://www.cambriansd.org/farnham,0,0,https://www.openstreetmap.org/way/38246299
Bagby Elementary School,Bagby,https://www.cambriansd.org/Bagby,0,0,https://www.openstreetmap.org/way/38249334
South Kearns Elementary School,Top,https://schools.graniteschools.org/southkearns/,0,0,https://www.openstreetmap.org/way/38447945
David Gourley Elementary School,Pandas,https://schools.graniteschools.org/gourley/,0,0,https://www.openstreetmap.org/way/38448709
Thomas W Bacchus Elementary School,Dragons,https://schools.graniteschools.org/bacchus/,0,0,https://www.openstreetmap.org/way/38452221
Alta Vista Elementary School,Wildcats,https://altavista.rbusd.org/,0,0,https://www.openstreetmap.org/way/38554493
William Burnett Elementary School,Bulldogs,https://burnett.musd.org/,0,0,https://www.openstreetmap.org/way/39226368
Curtner Elementary School,Eagles,https://curtner.musd.org/,0,0,https://www.openstreetmap.org/way/39320310
Foster Elementary School,Falcons,https://foster.bpusd.net/,0,0,https://www.openstreetmap.org/way/39494017
Bennion Elementary School,Bobcats,https://schools.graniteschools.org/bennion/,0,0,https://www.openstreetmap.org/way/39823307
Longview Elementary School,Lions,https://longview.murrayschools.org/,0,0,https://www.openstreetmap.org/way/39838316
Los Amigos Elementary School,Dragons,https://lae.cuca.k12.ca.us,0,0,https://www.openstreetmap.org/way/39888744
Horizon Elementary School,Huskies,https://horizon.murrayschools.org/,0,0,https://www.openstreetmap.org/way/39896158
Sangster Elementary School,Falcons,https://www.fcps.edu/SangsterES/,0,0,https://www.openstreetmap.org/way/39921188
Field Elementary,Falcons,https://www.mpsaz.org/field,0,0,https://www.openstreetmap.org/way/44463430
Twin Hickory Elementary School,Trailblazers,https://twinhickory.henricoschools.us/o/twinhickory,0,0,https://www.openstreetmap.org/way/45082169
Van Arsdale Elementary School,Mountaineers,https://vanarsdale.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/46705335
Sierra Elementary School,Sabertooths,https://sierra.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/46818370
John Adams Elementary School,Patriots,https://adams.cnusd.k12.ca.us/,0,0,https://www.openstreetmap.org/way/46868641
Adams Elementary School,Eagles,https://bettyadams.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/47237443
Cotton Creek Elementary School,Cougars,https://cotton.adams12.org/,0,0,https://www.openstreetmap.org/way/48116312
Sutherland Elementary School,Cougars,https://www.sutherlandcougars.org/,0,0,https://www.openstreetmap.org/way/48204353
Skyway Park Elementary School,Comets,https://skyway.cmsd12.org/,0,0,https://www.openstreetmap.org/way/50332427
Dare Elementary School,Dolphins,https://ycsd.yorkcountyschools.org/DES,0,0,https://www.openstreetmap.org/way/50884922
Sellers Elementary School,Vikings,https://www.sellersvikings.org/,0,0,https://www.openstreetmap.org/way/51207359
Devinny Elementary School,Knights,https://devinny.jeffcopublicschools.org,0,0,https://www.openstreetmap.org/way/51735209
Buttonwillow Elementary School,Roadrunners,http://www.buttonwillow.k12.ca.us,0,0,https://www.openstreetmap.org/way/53994047
Franklin Avenue Elementary School,Franklin,https://www.franklinavenueschool.org/,0,0,https://www.openstreetmap.org/way/58582036
William H. Garrison Elementary School,Gorillas,https://garrison.mcs4kids.com/,0,0,https://www.openstreetmap.org/way/62249270
Sunridge Elementary School,Sidewinders,https://sunr.fesd.org/,0,0,https://www.openstreetmap.org/way/66166058
Herndon Elementary School,Bees,https://herndones.fcps.edu/,0,0,https://www.openstreetmap.org/way/67066439
Rose Hill Elementary School,Rockets,https://www.fcps.edu/RoseHillES/,0,0,https://www.openstreetmap.org/way/69082033
Victoria Elementary School,College,https://victoria-lausd-ca.schoolloop.com/,0,0,https://www.openstreetmap.org/way/71226011
Forest Edge Elementary School,Eagles,https://www.fcps.edu/ForestEdgeES/,0,0,https://www.openstreetmap.org/way/79143078
Lake Anne Elementary School,Dolphins,https://lakeannees.fcps.edu/,0,0,https://www.openstreetmap.org/way/79666016
Boyertown Elementary School,Bears,https://www.boyertownasd.org/Domain/11,0,0,https://www.openstreetmap.org/way/81105485
Van Ness Elementary School,All,https://vannessavees.lausd.org/,0,0,https://www.openstreetmap.org/way/82586877
Holmes Elementary School,Roadrunners,https://www.mpsaz.org/holmes,0,0,https://www.openstreetmap.org/way/85610382
Lindbergh Elementary School,LOBOS,https://www.mpsaz.org/lindbergh,0,0,https://www.openstreetmap.org/way/85610383
Weber Elementary School,Eagles,https://weber.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/86979914
Bremen Elementary/Middle School,Lions,https://www.bps.k12.in.us/,0,0,https://www.openstreetmap.org/way/89526062
Davis Elementary School,Dragons,https://www.hillsboroughschools.org/davis,0,0,https://www.openstreetmap.org/way/89634654
Lake Magdalene Elementary School,Manatees,https://www.hillsboroughschools.org/lakemagdalene,0,0,https://www.openstreetmap.org/way/90757781
Creekside Elementary School,Cheetahs,https://cses.psd202.org/,0,0,https://www.openstreetmap.org/way/92142981
Pot Spring Elementary School,Bluebirds,https://potspringes.bcps.org/,0,0,https://www.openstreetmap.org/way/96620134
Dever Elementary School,Dragons,https://dever.cps.edu/,0,0,https://www.openstreetmap.org/way/96841135
Terra Centre Elementary School,Tigers,https://www.fcps.edu/TerraCentreES/,0,0,https://www.openstreetmap.org/way/97560099
Fairview Elementary School,Soaring,https://www.fcps.edu/FairviewES/,0,0,https://www.openstreetmap.org/way/97572207
Crestwood Elementary School,Lions,https://www.hillsboroughschools.org/crestwood,0,0,https://www.openstreetmap.org/way/99000111
North Point Elementary School,Navigators,https://northpoint.alpineschools.org/,0,0,https://www.openstreetmap.org/way/101029609
Snow Springs Elementary School,Dragons,https://snowsprings.alpineschools.org/,0,0,https://www.openstreetmap.org/way/101050659
Grace Thille Elementary School,Tigers,https://gracethille.santapaulausd.org/,0,0,https://www.openstreetmap.org/way/103623034
Anderson Elementary School,Eagles,https://www.hillsboroughschools.org/anderson,0,0,https://www.openstreetmap.org/way/106962657
Sabal Elementary School,Trailblazers,https://www.brevardschools.org/SabalES,0,0,https://www.openstreetmap.org/way/107602206
Broward Elementary School,Tigers,https://www.hillsboroughschools.org/broward,0,0,https://www.openstreetmap.org/way/110897017
Sheehy Elementary School,Lions,https://www.hillsboroughschools.org/sheehy,0,0,https://www.openstreetmap.org/way/112365745
Monte Vista Elementary School,Mustangs,https://montevista.jordandistrict.org/,0,0,https://www.openstreetmap.org/way/113225250
Bay Crest Elementary School,Seagulls,https://www.hillsboroughschools.org/baycrest,0,0,https://www.openstreetmap.org/way/113528869
Woodbridge Elementary School,Wildcats,https://www.hillsboroughschools.org/woodbridge,0,0,https://www.openstreetmap.org/way/113528871
Larkspur Elementary School,Leopards,https://www.neisd.net/larkspur/,0,0,https://www.openstreetmap.org/way/113536562
Paris Elementary School,Eagles,https://www.parisschools.org/o/pes,0,0,https://www.openstreetmap.org/way/117439060
Sunrise Elementary School,SUNsational,https://sunriseelementary.org/,0,0,https://www.openstreetmap.org/way/117751124
Paseo Verde Elementary School,Storm,https://www.peoriaunified.org/PaseoVerde,0,0,https://www.openstreetmap.org/way/118264726
Sky View Elementary School,Sky,https://www.peoriaunified.org/skyview,0,0,https://www.openstreetmap.org/way/118265777
Cheyenne Elementary School,Chiefs,https://www.peoriaunified.org/Cheyenne,0,0,https://www.openstreetmap.org/way/118265778
Butterfield Elementary School,Bobcats,https://www.musd20.org/bes,0,0,https://www.openstreetmap.org/way/120480200
Cirby Elementary School,Eagles,https://cirby.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/120650330
Oak Grove Elementary School,Jaguars,https://www.hillsboroughschools.org/oakgrove,0,0,https://www.openstreetmap.org/way/120875532
Mabry Elementary School,Dolphins,https://www.hillsboroughschools.org/mabry,0,0,https://www.openstreetmap.org/way/120926812
Ferris Spanger Elementary School,Spartans,https://spanger.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005334
Sargeant Elementary School,Bulldogs,https://sargeant.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005339
Vencil Brown Elementary School,Grizzlies,https://brown.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005353
Woodbridge Elementary School,Woodchucks,https://woodbridge.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005358
Catheryn Gates Elementary School,Explorers,https://gates.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005374
Crestmont Elementary School,Coyotes,https://crestmont.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005384
Stoneridge Elementary School,Timberwolves,https://stoneridge.rcsdk8.org/,0,0,https://www.openstreetmap.org/way/121005406
Pioneer Elementary School,Patriots,https://www.peoriaunified.org/pioneer,0,0,https://www.openstreetmap.org/way/121161270
Sundance Elementary School,Aztecs,https://www.peoriaunified.org/sundance,0,0,https://www.openstreetmap.org/way/123377118
Ira A Murphy Elementary School,Mustangs,https://www.peoriaunified.org/iramurphy,0,0,https://www.openstreetmap.org/way/125097564
Santa Fe Elementary School,Spanish,https://www.peoriaunified.org/SantaFe,0,0,https://www.openstreetmap.org/way/125100294
Vincent L. Triggs Elementary,Travelers,https://triggses.com/,0,0,https://www.openstreetmap.org/way/130170493
Vegas Verdes Elementary School,Vikings,https://vegasverdesvikings.com/,0,0,https://www.openstreetmap.org/way/130208334
Oak Ridge Elementary School,Soaring,https://www.leonschools.net/oakridge,0,0,https://www.openstreetmap.org/way/131941487
Town and Country Elementary School,Tigers,https://www.hillsboroughschools.org/townandcountry,0,0,https://www.openstreetmap.org/way/132834413
Dellview Elementary School,Dolphins,https://www.neisd.net/dellview,0,0,https://www.openstreetmap.org/way/133581801
Jackson-Keller Elementary School,Jack,https://www.neisd.net/jacksonkeller,0,0,https://www.openstreetmap.org/way/133589764
Roy Allen Elementary,Panthers,https://www.brevardschools.org/o/raes,0,0,https://www.openstreetmap.org/way/135415536
Castle Hills Elementary School,Roadrunners,https://www.neisd.net/castlehills,0,0,https://www.openstreetmap.org/way/141326949
Westbriar Elementary School,Falcons,https://westbriares.fcps.edu/,0,0,https://www.openstreetmap.org/way/142538114
Lincoln Park Elementary School,LP,https://lp.ddouglas.k12.or.us/,0,0,https://www.openstreetmap.org/way/142741812
Sunset Elementary School,Mighty,https://www.sysdschools.org/Domain/11,0,0,https://www.openstreetmap.org/way/143120841
Royal Ridge Elementary School,Patriots,https://www.neisd.net/royalridge,0,0,https://www.openstreetmap.org/way/148164701
Mendoza Elementary School,the,https://mendoza.sbusd.org/,0,0,https://www.openstreetmap.org/way/149560871
Oak Hill Elementary School,Falcons,https://www.slps.org/oakhill,0,0,https://www.openstreetmap.org/way/149711787
West Jefferson Elementary School,Bobcats,https://westjeffes.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/149965140
Ishikawa Elementary School,Dragons,https://www.mpsaz.org/ishikawa,0,0,https://www.openstreetmap.org/way/150793346
Lehi Elementary School,LYNX,https://www.mpsaz.org/lehi,0,0,https://www.openstreetmap.org/way/151283005
Monroe Elementary School,Mighty,https://www.slps.org/Domain/1259,0,0,https://www.openstreetmap.org/way/152500106
